xmin_original,ymin_original,xmax_original,ymax_original,score,class
1110,3604,1141,3640,-1,melon
2479,3606,2507,3640,-1,melon
3836,3588,3863,3639,-1,melon
2897,3608,2932,3636,-1,melon
4174,3578,4209,3623,-1,melon
63,3581,93,3622,-1,melon
4217,3580,4259,3617,-1,melon
441,3584,476,3614,-1,melon
1500,3587,1535,3614,-1,melon
402,3580,433,3612,-1,melon
3556,3576,3583,3604,-1,melon
1129,3571,1174,3602,-1,melon
482,3575,512,3600,-1,melon
916,3568,932,3593,-1,melon
3422,3562,3442,3582,-1,melon
1504,3544,1531,3578,-1,melon
391,3548,427,3577,-1,melon
489,3529,526,3574,-1,melon
2573,3542,2599,3573,-1,melon
1451,3537,1484,3573,-1,melon
1482,3533,1510,3573,-1,melon
2814,3535,2848,3572,-1,melon
4170,3524,4201,3571,-1,melon
1126,3539,1161,3570,-1,melon
463,3534,491,3566,-1,melon
2607,3529,2630,3561,-1,melon
2916,3517,2937,3555,-1,melon
2532,3523,2565,3554,-1,melon
1750,3516,1772,3551,-1,melon
1774,3507,1819,3550,-1,melon
3196,3521,3213,3545,-1,melon
1918,3518,1948,3545,-1,melon
1125,3506,1173,3541,-1,melon
2503,3495,2535,3536,-1,melon
469,3509,503,3535,-1,melon
82,3500,110,3534,-1,melon
3144,3503,3169,3529,-1,melon
2468,3481,2495,3524,-1,melon
789,3495,835,3524,-1,melon
2906,3481,2926,3524,-1,melon
3176,3501,3193,3522,-1,melon
1849,3490,1880,3520,-1,melon
4209,3491,4235,3520,-1,melon
2882,3475,2906,3517,-1,melon
460,3493,482,3513,-1,melon
4245,3482,4269,3513,-1,melon
1820,3475,1844,3513,-1,melon
3218,3486,3239,3512,-1,melon
3431,3488,3451,3510,-1,melon
1785,3464,1817,3505,-1,melon
82,3465,125,3502,-1,melon
684,3475,720,3501,-1,melon
3404,3475,3425,3500,-1,melon
1386,3468,1422,3500,-1,melon
3851,3448,3874,3498,-1,melon
2657,3476,2676,3498,-1,melon
3884,3466,3927,3495,-1,melon
4197,3463,4228,3491,-1,melon
420,3456,450,3486,-1,melon
3143,3453,3168,3481,-1,melon
1431,3439,1463,3477,-1,melon
754,3434,800,3476,-1,melon
3214,3443,3241,3470,-1,melon
4220,3426,4251,3461,-1,melon
414,3430,443,3456,-1,melon
4280,3420,4315,3455,-1,melon
3030,3413,3053,3450,-1,melon
3454,3418,3473,3443,-1,melon
1442,3410,1468,3438,-1,melon
1095,3374,1125,3428,-1,melon
5408,3385,5440,3426,-1,melon
894,3392,938,3423,-1,melon
