xmin_original,ymin_original,xmax_original,ymax_original,score,class
1869,3606,1907,3640,-1,melon
4375,3623,4411,3640,-1,melon
3978,3615,4013,3640,-1,melon
2148,3613,2178,3639,-1,melon
3947,3603,3980,3634,-1,melon
4339,3592,4367,3629,-1,melon
4294,3594,4324,3629,-1,melon
1924,3603,1956,3628,-1,melon
3328,3607,3348,3628,-1,melon
2222,3594,2263,3627,-1,melon
2972,3601,2995,3625,-1,melon
2927,3593,2954,3621,-1,melon
3005,3595,3028,3619,-1,melon
3967,3587,4007,3615,-1,melon
4042,3580,4074,3610,-1,melon
3311,3566,3344,3598,-1,melon
1192,3571,1217,3597,-1,melon
1939,3564,1965,3596,-1,melon
2224,3561,2260,3595,-1,melon
1896,3566,1921,3593,-1,melon
519,3564,560,3593,-1,melon
2887,3563,2912,3591,-1,melon
2928,3564,2957,3587,-1,melon
344,3539,378,3582,-1,melon
3288,3542,3318,3573,-1,melon
864,3533,897,3571,-1,melon
2925,3544,2949,3567,-1,melon
1228,3528,1258,3565,-1,melon
1542,3527,1575,3555,-1,melon
2806,3532,2829,3553,-1,melon
4002,3521,4030,3553,-1,melon
341,3528,362,3549,-1,melon
2955,3527,2976,3549,-1,melon
2907,3515,2932,3545,-1,melon
3096,3517,3121,3544,-1,melon
3331,3503,3361,3542,-1,melon
1497,3497,1528,3539,-1,melon
446,3506,480,3538,-1,melon
2784,3511,2806,3533,-1,melon
3294,3495,3327,3531,-1,melon
1529,3499,1564,3530,-1,melon
1188,3489,1221,3524,-1,melon
2950,3493,2980,3523,-1,melon
486,3487,525,3521,-1,melon
1581,3485,1610,3521,-1,melon
4583,3467,4623,3510,-1,melon
3320,3480,3349,3510,-1,melon
377,3458,405,3495,-1,melon
2918,3467,2943,3493,-1,melon
4284,3458,4316,3492,-1,melon
1512,3458,1560,3490,-1,melon
447,3455,490,3488,-1,melon
1580,3461,1614,3486,-1,melon
402,3453,429,3482,-1,melon
2966,3451,2982,3473,-1,melon
2916,3447,2941,3472,-1,melon
761,3438,789,3462,-1,melon
4704,3438,4733,3460,-1,melon
2939,3436,2964,3460,-1,melon
1567,3419,1604,3454,-1,melon
398,3413,425,3453,-1,melon
2894,3421,2917,3450,-1,melon
1540,3409,1572,3449,-1,melon
4317,3412,4348,3443,-1,melon
2840,3426,2855,3443,-1,melon
3368,3419,3390,3442,-1,melon
4673,3403,4706,3439,-1,melon
3088,3413,3106,3433,-1,melon
3301,3407,3329,3432,-1,melon
1157,3401,1189,3429,-1,melon
1573,3395,1608,3423,-1,melon
433,3377,468,3423,-1,melon
766,3383,801,3423,-1,melon
2781,3395,2799,3415,-1,melon
4321,3384,4350,3413,-1,melon
3288,3377,3322,3411,-1,melon
3997,3374,4031,3408,-1,melon
3394,3355,3422,3392,-1,melon
2954,3368,2972,3390,-1,melon
728,3360,757,3386,-1,melon
2925,3360,2953,3385,-1,melon
5220,3349,5273,3383,-1,melon
2877,3352,2900,3378,-1,melon
2900,3352,2921,3374,-1,melon
820,3325,847,3360,-1,melon
790,3318,821,3358,-1,melon
5308,3316,5352,3354,-1,melon
2954,3328,2975,3346,-1,melon
5372,3298,5409,3342,-1,melon
393,3306,421,3337,-1,melon
2920,3319,2936,3336,-1,melon
2988,3308,3008,3326,-1,melon
5415,3286,5449,3326,-1,melon
353,3293,394,3321,-1,melon
2937,3296,2957,3317,-1,melon
3959,3282,3987,3312,-1,melon
5312,3270,5353,3310,-1,melon
2946,3277,2970,3304,-1,melon
326,3258,367,3297,-1,melon
5392,3251,5421,3289,-1,melon
2850,3251,2877,3278,-1,melon
379,3249,413,3278,-1,melon
2173,3244,2200,3274,-1,melon
745,3234,786,3271,-1,melon
2328,3233,2372,3271,-1,melon
401,3247,431,3264,-1,melon
402,3217,433,3263,-1,melon
1130,3235,1159,3260,-1,melon
2197,3230,2231,3259,-1,melon
2231,3219,2261,3255,-1,melon
1883,3221,1914,3252,-1,melon
5278,3210,5313,3240,-1,melon
1869,3202,1913,3230,-1,melon
2200,3187,2235,3228,-1,melon
2344,3184,2383,3228,-1,melon
744,3183,787,3221,-1,melon
5303,3174,5337,3210,-1,melon
3340,3180,3365,3209,-1,melon
3257,3174,3286,3208,-1,melon
1861,3177,1910,3206,-1,melon
1923,3160,1952,3206,-1,melon
293,3164,326,3198,-1,melon
3283,3166,3309,3198,-1,melon
2171,3162,2204,3198,-1,melon
2218,3156,2258,3195,-1,melon
1893,3161,1926,3190,-1,melon
3223,3165,3242,3185,-1,melon
409,3154,448,3180,-1,melon
5317,3151,5351,3179,-1,melon
900,3148,928,3176,-1,melon
2180,3135,2217,3173,-1,melon
2244,3141,2279,3172,-1,melon
1879,3132,1910,3169,-1,melon
1859,3140,1881,3162,-1,melon
2223,3118,2252,3157,-1,melon
3260,3120,3293,3154,-1,melon
3308,3127,3327,3153,-1,melon
1908,3125,1938,3149,-1,melon
2887,3119,2910,3147,-1,melon
1868,3120,1890,3143,-1,melon
3647,3114,3674,3135,-1,melon
1883,3103,1905,3132,-1,melon
3313,3107,3339,3130,-1,melon
3283,3099,3309,3129,-1,melon
1198,3088,1228,3124,-1,melon
1864,3089,1890,3119,-1,melon
1894,3083,1940,3111,-1,melon
