xmin_original,ymin_original,xmax_original,ymax_original,score,class
1842,3609,1868,3640,-1,melon
1207,3607,1248,3640,-1,melon
3217,3608,3241,3637,-1,melon
3998,3599,4036,3635,-1,melon
681,3604,722,3634,-1,melon
1860,3602,1891,3628,-1,melon
2894,3579,2922,3623,-1,melon
4222,3588,4258,3619,-1,melon
1141,3569,1186,3619,-1,melon
122,3578,160,3618,-1,melon
4304,3576,4333,3617,-1,melon
1822,3585,1851,3615,-1,melon
2597,3576,2623,3601,-1,melon
65,3568,100,3599,-1,melon
2918,3570,2955,3598,-1,melon
3219,3568,3247,3596,-1,melon
452,3560,473,3594,-1,melon
1889,3561,1916,3590,-1,melon
2577,3553,2603,3589,-1,melon
772,3545,808,3586,-1,melon
1199,3531,1233,3580,-1,melon
3940,3555,3966,3580,-1,melon
2944,3536,2976,3579,-1,melon
1556,3545,1597,3577,-1,melon
2598,3548,2624,3575,-1,melon
3200,3546,3220,3575,-1,melon
3265,3551,3289,3573,-1,melon
90,3537,117,3572,-1,melon
2415,3555,2433,3571,-1,melon
126,3541,169,3570,-1,melon
3221,3541,3244,3564,-1,melon
3285,3526,3319,3559,-1,melon
4291,3528,4315,3558,-1,melon
1528,3524,1554,3554,-1,melon
2538,3520,2570,3550,-1,melon
2898,3502,2924,3545,-1,melon
3223,3521,3243,3541,-1,melon
2962,3496,2992,3540,-1,melon
1549,3510,1588,3538,-1,melon
1126,3492,1171,3536,-1,melon
2575,3514,2591,3536,-1,melon
155,3510,189,3536,-1,melon
447,3494,477,3533,-1,melon
57,3505,90,3527,-1,melon
3952,3484,3978,3526,-1,melon
1494,3484,1527,3518,-1,melon
3986,3483,4014,3518,-1,melon
2558,3476,2584,3510,-1,melon
66,3466,98,3505,-1,melon
784,3456,817,3503,-1,melon
1458,3473,1497,3502,-1,melon
686,3454,718,3497,-1,melon
1174,3464,1211,3497,-1,melon
482,3462,518,3491,-1,melon
3943,3441,3967,3474,-1,melon
1909,3432,1936,3469,-1,melon
449,3437,484,3468,-1,melon
2573,3437,2600,3468,-1,melon
741,3429,776,3466,-1,melon
485,3427,515,3462,-1,melon
2917,3421,2943,3455,-1,melon
1207,3414,1242,3450,-1,melon
2657,3423,2688,3450,-1,melon
3967,3409,3992,3449,-1,melon
1860,3423,1886,3445,-1,melon
2929,3394,2966,3443,-1,melon
458,3403,508,3437,-1,melon
2879,3391,2915,3436,-1,melon
1484,3403,1517,3431,-1,melon
2544,3394,2578,3429,-1,melon
3714,3402,3739,3429,-1,melon
1809,3395,1845,3421,-1,melon
2576,3393,2599,3418,-1,melon
1455,3389,1478,3408,-1,melon
1788,3373,1819,3398,-1,melon
2943,3362,2974,3398,-1,melon
2435,3366,2463,3395,-1,melon
1115,3358,1156,3392,-1,melon
132,3356,162,3391,-1,melon
818,3353,854,3389,-1,melon
3699,3364,3721,3388,-1,melon
3207,3358,3229,3387,-1,melon
1876,3350,1917,3373,-1,melon
50,3343,84,3370,-1,melon
1621,3332,1655,3363,-1,melon
2560,3332,2597,3362,-1,melon
79,3340,107,3362,-1,melon
2868,3330,2913,3360,-1,melon
2005,3339,2026,3357,-1,melon
1192,3306,1223,3353,-1,melon
1889,3315,1916,3352,-1,melon
3606,3327,3627,3349,-1,melon
3273,3319,3299,3347,-1,melon
1517,3326,1543,3346,-1,melon
489,3301,525,3335,-1,melon
72,3296,103,3332,-1,melon
3196,3300,3220,3328,-1,melon
1926,3301,1949,3327,-1,melon
1121,3298,1174,3326,-1,melon
1496,3290,1528,3326,-1,melon
1536,3289,1563,3321,-1,melon
1900,3293,1923,3321,-1,melon
2971,3290,3009,3319,-1,melon
1628,3284,1659,3315,-1,melon
2507,3282,2533,3312,-1,melon
3612,3288,3635,3312,-1,melon
3871,3255,3903,3306,-1,melon
1153,3276,1185,3303,-1,melon
101,3268,141,3301,-1,melon
2874,3247,2906,3293,-1,melon
3450,3267,3475,3293,-1,melon
1903,3256,1932,3290,-1,melon
1475,3249,1515,3281,-1,melon
2939,3238,2971,3281,-1,melon
3462,3248,3491,3277,-1,melon
3725,3245,3754,3274,-1,melon
482,3247,515,3273,-1,melon
1871,3247,1898,3271,-1,melon
2563,3247,2587,3269,-1,melon
3180,3247,3205,3265,-1,melon
1205,3221,1243,3261,-1,melon
448,3225,478,3250,-1,melon
502,3213,531,3249,-1,melon
3268,3223,3293,3249,-1,melon
49,3212,88,3246,-1,melon
136,3196,168,3236,-1,melon
3976,3187,4025,3232,-1,melon
3283,3195,3306,3228,-1,melon
99,3196,126,3225,-1,melon
1197,3178,1238,3221,-1,melon
3877,3179,3921,3215,-1,melon
1521,3183,1561,3214,-1,melon
1439,3180,1479,3214,-1,melon
3165,3188,3187,3212,-1,melon
1565,3179,1608,3209,-1,melon
82,3163,128,3197,-1,melon
52,3152,85,3193,-1,melon
2869,3153,2895,3186,-1,melon
2967,3141,2995,3183,-1,melon
780,3149,812,3179,-1,melon
1841,3152,1871,3178,-1,melon
2905,3147,2948,3177,-1,melon
489,3148,530,3173,-1,melon
3948,3133,3972,3172,-1,melon
809,3138,842,3169,-1,melon
2588,3131,2613,3168,-1,melon
3222,3141,3246,3166,-1,melon
1240,3138,1282,3165,-1,melon
3145,3130,3170,3161,-1,melon
456,3127,485,3160,-1,melon
727,3129,768,3157,-1,melon
1892,3113,1917,3151,-1,melon
1137,3123,1178,3150,-1,melon
1868,3126,1895,3148,-1,melon
75,3103,112,3147,-1,melon
1851,3108,1872,3144,-1,melon
1934,3116,1966,3143,-1,melon
3216,3116,3244,3142,-1,melon
3939,3093,3962,3137,-1,melon
1153,3092,1198,3128,-1,melon
724,3102,762,3128,-1,melon
1867,3096,1904,3119,-1,melon
477,3084,512,3116,-1,melon
3623,3088,3644,3111,-1,melon
2949,3077,2982,3109,-1,melon
71,3071,110,3109,-1,melon
3246,3081,3266,3102,-1,melon
1867,3071,1905,3098,-1,melon
132,3052,165,3090,-1,melon
1221,3066,1267,3089,-1,melon
1838,3058,1868,3084,-1,melon
2736,3050,2766,3078,-1,melon
2711,3053,2735,3077,-1,melon
1189,3044,1229,3070,-1,melon
3891,3024,3932,3067,-1,melon
53,3024,82,3067,-1,melon
1122,3017,1153,3060,-1,melon
2513,3026,2542,3057,-1,melon
1901,3023,1931,3054,-1,melon
3375,3031,3392,3053,-1,melon
1233,3024,1268,3051,-1,melon
3632,3027,3657,3047,-1,melon
3308,3011,3330,3040,-1,melon
3349,3016,3368,3040,-1,melon
3935,2994,3959,3031,-1,melon
1848,2998,1879,3030,-1,melon
1184,2993,1226,3029,-1,melon
3631,3003,3652,3027,-1,melon
1541,2983,1566,3016,-1,melon
1825,2965,1854,3003,-1,melon
1558,2972,1583,3001,-1,melon
2938,2950,2963,2987,-1,melon
2525,2964,2547,2986,-1,melon
2553,2960,2576,2985,-1,melon
2430,2953,2460,2982,-1,melon
1904,2952,1933,2980,-1,melon
115,2943,162,2980,-1,melon
1536,2947,1572,2978,-1,melon
2491,2945,2519,2971,-1,melon
785,2927,818,2967,-1,melon
438,2939,475,2966,-1,melon
1935,2932,1965,2962,-1,melon
1841,2934,1872,2961,-1,melon
2508,2922,2540,2961,-1,melon
90,2920,133,2960,-1,melon
825,2913,870,2947,-1,melon
2875,2925,2917,2947,-1,melon
524,2914,564,2942,-1,melon
466,2910,491,2940,-1,melon
2541,2907,2565,2935,-1,melon
1484,2913,1516,2935,-1,melon
3264,2897,3290,2927,-1,melon
486,2898,513,2920,-1,melon
1533,2888,1573,2918,-1,melon
131,2893,167,2913,-1,melon
77,2884,112,2911,-1,melon
867,2876,901,2909,-1,melon
498,2857,532,2893,-1,melon
1450,2864,1488,2891,-1,melon
731,2844,761,2891,-1,melon
537,2857,577,2887,-1,melon
106,2828,156,2868,-1,melon
2532,2836,2559,2867,-1,melon
3341,2826,3372,2866,-1,melon
2486,2834,2512,2862,-1,melon
3934,2818,3979,2858,-1,melon
3652,2834,3679,2858,-1,melon
